Altium Designer Pick and Place Locations
C:\Users\rafal\Desktop\SaraKit v11 bez opisu biura projektowego\SaraKit_MainBoard\out\[ASSEMBLY] SaraKit_MainBoard-v1.1 (2023-07-04)\Pick Place\[P&P] SaraKit_MainBoard [Standard] [v1.1] (2023-07-04 18-44).csv

========================================================================================================================
File Design Information:

Date:       04.07.23
Time:       18:44
Revision:   Not in VersionControl
Variant:    Standard
Units used: mm

"Designator","Description","08 Parameter 1","07 Package","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"C309","SMT 0805c 1uF 50V 10% X7R 6.9MHz 125'C","1uF","0805c","CL21B105KBFNNNG","TopLayer","CAPC2013X145L","18.1135","21.5750","90"
"C308","SMT 0402c 1uF 10V 10% X5R 10.2MHz 85'C","1uF","0402c","CL05A105KP5NNNC","TopLayer","CAPC1005X60L","19.4890","21.8500","270"
"C307","SMT 0805c 1uF 50V 10% X7R 6.9MHz 125'C","1uF","0805c","CL21B105KBFNNNG","TopLayer","CAPC2013X145L","16.2890","21.5750","90"
"C306","SMT 0402c 1uF 10V 10% X5R 10.2MHz 85'C","1uF","0402c","CL05A105KP5NNNC","TopLayer","CAPC1005X60L","12.7000","21.8000","270"
"C305","SMT 0805c 1uF 50V 10% X7R 6.9MHz 125'C","1uF","0805c","CL21B105KBFNNNG","TopLayer","CAPC2013X145L","22.1000","29.2750","90"
"C304","SMT 0805c 1uF 50V 10% X7R 6.9MHz 125'C","1uF","0805c","CL21B105KBFNNNG","TopLayer","CAPC2013X145L","10.2000","29.2750","90"
"C303","SMT 0805c 1uF 50V 10% X7R 6.9MHz 125'C","1uF","0805c","CL21B105KBFNNNG","TopLayer","CAPC2013X145L","10.2000","32.1750","270"
"C302","SMT 0805c 1uF 50V 10% X7R 6.9MHz 125'C","1uF","0805c","CL21B105KBFNNNG","TopLayer","CAPC2013X145L","22.1000","32.1750","270"
"C300","SMT 6760m 82uF 25V 0,2 36mOhm 1.255A 125°","82uF","6760m","A768EB826M1ELAE036","TopLayer","CAPAE660X60L","5.6000","28.0750","270"
"C230","SMT 0402c 1uF 10V 10% X5R 10.2MHz 85'C","1uF","0402c","CL05A105KP5NNNC","TopLayer","CAPC1005X60L","-16.4485","31.6163","180"
"C228","SMT 0402c 1uF 10V 10% X5R 10.2MHz 85'C","1uF","0402c","CL05A105KP5NNNC","BottomLayer","CAPC1005X60L","-42.5000","2.0253","0"
"C229","SMT 0402c 1uF 10V 10% X5R 10.2MHz 85'C","1uF","0402c","CL05A105KP5NNNC","BottomLayer","CAPC1005X60L","19.2000","-37.2000","300"
"C225","SMT 0402c 1uF 10V 10% X5R 10.2MHz 85'C","1uF","0402c","CL05A105KP5NNNC","BottomLayer","CAPC1005X60L","22.6000","35.2000","240"
"C223","SMT 0402c 1uF 10V 10% X5R 10.2MHz 85'C","1uF","0402c","CL05A105KP5NNNC","TopLayer","CAPC1005X60L","-15.5853","39.2905","315"
"C222","SMT 0402c 100nF 16V 10% X7R 25.8MHz 125'C","100nF","0402c","CL05B104KO5NNNC","TopLayer","CAPC1005X60L","-14.9135","39.9623","315"
"C221","SMT 0402c 1uF 10V 10% X5R 10.2MHz 85'C","1uF","0402c","CL05A105KP5NNNC","TopLayer","CAPC1005X60L","-12.4750","39.8750","315"
"C220","SMT 0402c 1uF 10V 10% X5R 10.2MHz 85'C","1uF","0402c","CL05A105KP5NNNC","TopLayer","CAPC1005X60L","-11.8000","40.5500","315"
"C219","SMT 0402c 100nF 16V 10% X7R 25.8MHz 125'C","100nF","0402c","CL05B104KO5NNNC","TopLayer","CAPC1005X60L","-1.6553","32.2195","135"
"C218","SMT 0402c 100nF 16V 10% X7R 25.8MHz 125'C","100nF","0402c","CL05B104KO5NNNC","TopLayer","CAPC1005X60L","-2.7159","41.4119","225"
"C200","SMT 0603c 1uF 16V 10% X5R 6.9MHz 85'C","1uF","0603c","CL10A105KO8NNNC","TopLayer","CAPC1608X90L","-16.9750","36.3500","90"
"C205","SMT 0603c 1uF 16V 10% X5R 6.9MHz 85'C","1uF","0603c","CL10A105KO8NNNC","TopLayer","CAPC1608X90L","-22.0750","36.3500","90"
"C216","SMT 0402c 1uF 10V 10% X5R 10.2MHz 85'C","1uF","0402c","CL05A105KP5NNNC","TopLayer","CAPC1005X60L","-10.4588","30.7699","45"
"C215","SMT 0402c 100nF 16V 10% X7R 25.8MHz 125'C","100nF","0402c","CL05B104KO5NNNC","TopLayer","CAPC1005X60L","-12.5094","32.9619","45"
"C214","SMT 0402c 100nF 16V 10% X7R 25.8MHz 125'C","100nF","0402c","CL05B104KO5NNNC","TopLayer","CAPC1005X60L","-3.9000","30.0000","135"
"C213","SMT 0402c 100nF 16V 10% X7R 25.8MHz 125'C","100nF","0402c","CL05B104KO5NNNC","TopLayer","CAPC1005X60L","-0.2411","33.6337","135"
"C209","SMT 0402c 100nF 16V 10% X7R 25.8MHz 125'C","100nF","0402c","CL05B104KO5NNNC","TopLayer","CAPC1005X60L","-0.2057","38.9017","225"
"C204","SMT 0603c 1uF 16V 10% X5R 6.9MHz 85'C","1uF","0603c","CL10A105KO8NNNC","TopLayer","CAPC1608X90L","-40.8231","10.7937","180"
"C203","SMT 0603c 1uF 16V 10% X5R 6.9MHz 85'C","1uF","0603c","CL10A105KO8NNNC","TopLayer","CAPC1608X90L","-40.8231","5.6937","180"
"C103","SMT 0805c 22uF 16V 20% X5R 1.6MHz 85'C","22uF","0805c","CL21A226MOQNNNE","TopLayer","CAPC2013X145L","-39.2000","-8.0000","0"
"C102","SMT 0805c 22uF 16V 20% X5R 1.6MHz 85'C","22uF","0805c","CL21A226MOQNNNE","TopLayer","CAPC2013X145L","-39.2000","-9.8000","0"
"ASM100","FAS SoM 1GB 8GB","","","CM4101008","TopLayer","RASPBERRY_PI_CM4_EMMC","-17.8000","0.0000","90"
